superficie,habitaciones,antiguedad,precio,ubicacion_rural,ubicacion_urbano
423.0,2.0,31,465272.0,True,False
209.0,4.0,49,271262.0,True,False
145.0,2.0,32,162283.0,False,True
282.0,5.0,1,400920.0,False,True
229.0,2.0,32,252554.0,False,True
162.0,4.0,32,226219.0,True,False
367.0,1.0,40,381919.0,False,True
491.0,7.0,12,614429.0,True,False
101.0,5.0,29,206173.0,False,True
317.0,1.0,32,320218.0,False,True
344.0,1.0,12,350452.0,True,False
435.0,1.0,25,441451.0,True,False
436.0,3.0,21,466807.0,True,False
162.0,4.0,38,197852.0,True,False
162.0,7.0,37,298928.0,True,False
130.0,6.0,25,227738.0,True,False
236.0,7.0,45,372475.0,False,True
162.0,1.0,0,163140.0,True,False
51.0,5.0,14,148842.0,True,False
179.0,6.0,0,305421.0,False,True
269.0,4.0,41,310208.0,True,False
392.0,2.0,48,407595.0,False,True
273.0,6.0,39,363985.0,True,False
274.0,5.0,10,377308.0,False,True
434.0,3.0,2,499086.0,True,False
452.0,1.0,5,466359.0,False,True
175.0,2.0,8,198684.0,False,True
179.0,4.0,5,262052.0,False,True
102.0,3.0,8,139207.0,True,False
221.0,3.0,0,262960.0,True,False
267.0,1.0,30,252557.0,False,True
209.0,6.0,31,323189.0,False,True
247.0,4.0,40,300893.0,True,False
465.0,5.0,49,552772.0,True,False
296.0,3.0,11,331382.0,False,True
274.5,1.0,7,134029.0,False,True
488.0,5.0,7,603135.0,True,False
252.0,6.0,49,357035.0,True,False
233.0,4.0,27,292369.0,True,False
172.0,6.0,19,269666.0,True,False
450.0,3.0,46,479982.0,True,False
304.0,5.0,6,419115.0,False,True
343.0,5.0,10,425269.0,True,False
329.0,5.0,19,427564.0,False,True
374.0,3.0,15,420027.0,True,False
421.0,3.0,3,461954.0,False,True
147.0,6.0,5,265378.0,True,False
247.0,2.0,21,269491.0,True,False
444.0,6.0,25,534308.0,False,True
289.0,4.0,2,387410.0,False,True
193.0,1.0,40,209593.0,True,False
146.0,5.0,41,241804.0,True,False
250.0,2.0,13,293886.0,True,False
173.0,1.0,10,171802.0,True,False
236.0,2.0,17,276253.0,True,False
375.0,7.0,11,510583.0,False,True
398.0,6.0,22,505354.0,False,True
308.0,3.0,11,364690.0,True,False
197.0,5.0,12,277142.0,False,True
301.0,6.0,24,417398.0,False,True
492.0,1.0,44,503132.0,False,True
469.0,7.0,18,599503.0,True,False
452.0,7.0,45,584131.0,False,True
395.0,7.0,35,513999.0,True,False
196.0,1.0,44,213852.0,False,True
197.0,1.0,7,201516.0,True,False
274.5,1.0,28,88384.0,False,True
248.0,3.0,31,287572.0,True,False
357.0,7.0,43,492203.0,True,False
466.0,7.0,17,591982.0,False,False
473.0,2.0,5,512326.0,True,False
177.0,6.0,17,270990.0,True,False
88.0,5.0,18,184518.0,True,False
387.0,3.0,21,440545.0,True,False
409.0,7.0,36,537910.0,True,False
178.0,3.0,31,227066.0,True,False
316.0,6.0,40,429905.0,True,False
490.0,6.0,2,616103.0,True,False
483.0,3.0,27,545688.0,False,True
200.0,7.0,9,321345.0,False,True
464.0,3.0,34,508162.0,True,False
347.0,2.0,28,389674.0,True,False
148.0,4.0,14,220337.0,False,True
312.0,7.0,32,438313.0,False,True
301.0,7.0,6,444943.0,False,True
193.0,4.0,11,239913.0,True,False
274.5,1.0,48,76276.0,False,True
161.0,4.0,29,224111.0,True,False
418.0,7.0,30,534944.0,False,True
51.0,3.0,23,95406.0,True,False
434.0,4.0,19,505036.0,True,False
353.0,5.0,36,442810.0,True,False
303.0,6.0,3,413806.0,True,False
189.0,1.0,27,186003.0,True,False
86.0,1.0,43,83725.0,False,True
209.0,5.0,19,316476.0,True,False
58.0,5.0,23,138090.0,False,True
282.0,3.0,49,308386.0,False,True
148.0,7.0,48,256866.0,True,False
196.0,1.0,31,181588.0,False,True
353.0,6.0,40,436363.0,True,False
257.0,4.0,35,332292.0,True,False
180.0,6.0,33,273264.0,False,True
453.0,4.0,35,496120.0,False,True
201.0,2.0,1,233435.0,False,True
103.0,5.0,14,184068.0,False,True
169.0,3.0,0,216295.0,True,False
210.0,2.0,35,223890.0,False,True
457.0,1.0,5,474631.0,True,False
165.0,6.0,38,275218.0,False,True
124.0,6.0,41,213933.0,False,True
162.0,5.0,11,251538.0,True,False
469.0,7.0,2,616182.0,False,True
471.0,7.0,44,580528.0,False,True
153.0,4.0,17,225781.0,False,True
389.0,4.0,39,418105.0,False,True
303.0,4.0,20,387782.0,True,False
276.0,7.0,14,390381.0,True,False
161.0,5.0,32,226098.0,False,True
148.0,5.0,34,230810.0,False,True
202.0,5.0,25,293822.0,False,True
398.0,7.0,7,547455.0,True,False
433.0,4.0,47,491293.0,True,False
415.0,5.0,29,482592.0,True,False
387.0,2.0,22,424220.0,False,True
243.0,3.0,41,281014.0,False,True
359.0,7.0,9,521510.0,False,True
212.0,3.0,13,254049.0,True,False
257.0,3.0,13,312531.0,False,True
494.0,4.0,1,558685.0,True,False
218.0,4.0,36,275271.0,True,False
210.0,2.0,4,233776.0,False,True
117.0,3.0,37,150949.0,False,True
338.0,3.0,44,380297.0,False,True
447.0,5.0,40,522717.0,True,False
326.0,4.0,46,402233.0,True,False
353.0,3.0,13,396850.0,False,True
453.0,6.0,38,564622.0,False,True
433.0,2.0,24,476323.0,True,False
441.0,6.0,19,534451.0,False,True
184.0,6.0,1,301122.0,True,False
274.5,7.0,38,205727.0,True,False
450.0,7.0,5,605954.0,False,True
177.0,2.0,16,225469.0,False,True
82.0,3.0,24,145548.0,False,True
225.0,3.0,27,275282.0,False,False
492.0,4.0,1,559954.0,True,False
420.0,2.0,34,425368.0,True,False
424.0,5.0,36,501592.0,True,False
71.0,6.0,4,191173.0,False,True
287.0,2.0,0,340204.0,True,False
207.0,1.0,39,223096.0,False,True
87.0,1.0,11,115824.0,False,True
279.0,7.0,35,405364.0,False,True
414.0,4.0,44,482750.0,False,True
487.0,4.0,46,540566.0,False,True
313.0,4.0,30,365190.0,True,False
332.0,4.0,10,410071.0,False,True
76.0,4.0,9,169833.0,True,False
275.0,5.0,2,369369.0,True,False
326.0,5.0,13,423535.0,False,True
335.0,4.0,0,376589.0,False,True
146.0,2.0,9,186735.0,False,True
333.0,1.0,2,334159.0,True,False
416.0,4.0,9,483645.0,False,True
497.0,7.0,11,626873.0,True,False
366.0,2.0,29,403421.0,False,True
353.0,1.0,40,372323.0,False,True
196.0,6.0,0,312237.0,True,False
84.0,5.0,19,169243.0,False,False
241.0,6.0,7,369066.0,True,False
98.0,1.0,42,95691.0,True,False
66.0,6.0,11,194496.0,True,False
221.0,3.0,0,266590.0,True,False
269.0,7.0,19,385085.0,True,False
207.0,1.0,27,202727.0,False,True
95.0,6.0,42,202278.0,False,True
422.0,5.0,36,522814.0,True,False
55.0,5.0,46,124237.0,False,True
148.0,2.0,36,165649.0,False,True
429.0,6.0,11,561213.0,True,False
282.0,4.0,2,350927.0,False,True
86.0,6.0,48,169016.0,True,False
329.0,7.0,48,439027.0,True,False
351.0,1.0,27,361045.0,True,False
230.0,3.0,46,278897.0,True,False
144.0,6.0,14,240167.0,True,False
148.0,7.0,5,292417.0,True,False
237.0,3.0,43,278236.0,True,False
165.0,7.0,19,303490.0,False,True
240.0,5.0,49,309587.0,False,True
302.0,7.0,13,437940.0,True,False
465.0,4.0,1,539705.0,True,False
210.0,5.0,8,301275.0,False,True
305.0,1.0,36,292276.0,True,False
372.0,2.0,19,419996.0,False,True
177.0,4.0,25,243508.0,False,True
67.0,1.0,28,58738.0,False,True
330.0,5.0,0,442402.0,True,False
272.0,2.0,34,280793.0,True,False
103.0,1.0,5,137791.0,True,False
107.0,3.0,36,134571.0,False,True
372.0,7.0,4,521331.0,True,False
409.0,4.0,32,469209.0,False,True
223.0,3.0,48,264394.0,False,True
329.0,2.0,13,368182.0,False,True
163.0,3.0,11,199724.0,True,False
337.0,6.0,41,448941.0,True,False
480.0,3.0,19,549629.0,True,False
391.0,7.0,49,521216.0,True,False
200.0,2.0,23,235086.0,True,False
499.0,3.0,42,541478.0,True,False
176.0,2.0,33,185818.0,True,False
204.0,3.0,24,260694.0,False,True
435.0,1.0,49,430680.0,True,False
322.0,3.0,28,360180.0,False,True
153.0,3.0,38,207002.0,False,True
466.0,4.0,30,526372.0,True,False
442.0,3.0,46,488796.0,True,False
348.0,3.0,42,391427.0,False,True
295.0,6.0,49,403790.0,False,True
225.0,1.0,22,242099.0,True,False
219.0,4.0,37,266332.0,False,True
296.0,6.0,19,399320.0,True,False
75.0,5.0,22,160211.0,True,False
404.0,1.0,0,443890.0,True,False
355.0,1.0,15,353342.0,False,True
458.0,5.0,49,514816.0,False,True
457.0,7.0,0,594508.0,False,True
62.0,3.0,7,120505.0,True,False
365.0,6.0,49,455706.0,True,False
440.0,2.0,20,468971.0,False,True
362.0,4.0,0,447599.0,False,True
85.0,2.0,7,123556.0,False,True
222.0,5.0,28,289378.0,True,False
69.0,1.0,31,55019.0,False,True
370.0,7.0,37,493661.0,False,True
313.0,1.0,4,349861.0,True,False
449.0,4.0,46,491355.0,True,False
191.0,1.0,21,189583.0,True,False
420.0,1.0,46,435342.0,False,True
192.0,4.0,33,255956.0,True,False
141.0,6.0,0,254324.0,True,False
403.0,6.0,25,492757.0,False,True
371.0,4.0,42,437364.0,True,False
337.0,7.0,9,477472.0,False,True
264.0,5.0,29,356154.0,False,True
496.0,1.0,49,486733.0,True,False
391.0,7.0,17,518387.0,True,False
100.0,1.0,16,121320.0,True,False
202.0,5.0,25,290308.0,True,False
235.0,6.0,7,361654.0,True,False
112.0,7.0,46,243773.0,True,False
239.0,3.0,39,287247.0,False,True
174.0,3.0,48,200860.0,False,True
199.0,3.0,11,251656.0,True,False
363.0,6.0,0,483360.0,False,True
107.0,6.0,7,221635.0,True,False
391.0,5.0,24,484351.0,False,True
229.0,5.0,3,331054.0,False,True
219.0,5.0,32,302604.0,True,False
375.0,6.0,0,491923.0,False,True
320.0,3.0,18,359547.0,True,False
103.0,2.0,30,141002.0,False,True
493.0,1.0,15,500062.0,False,True
150.0,6.0,13,250980.0,False,True
313.0,3.0,47,356172.0,False,True
102.0,7.0,4,224213.0,False,True
109.0,2.0,40,119293.0,True,False
157.0,2.0,25,198941.0,False,False
54.0,6.0,27,142600.0,False,True
152.0,4.0,1,239672.0,False,True
245.0,1.0,49,240632.0,True,False
311.0,2.0,5,346699.0,False,True
414.0,6.0,8,546609.0,True,False
421.0,6.0,32,513016.0,False,True
399.0,3.0,40,458779.0,False,False
96.0,7.0,24,241261.0,False,True
404.0,4.0,47,472381.0,True,False
360.0,1.0,12,371058.0,False,True
473.0,5.0,8,573472.0,False,True
357.0,7.0,12,505926.0,True,False
193.0,7.0,30,332832.0,False,True
318.0,3.0,40,374021.0,False,True
419.0,2.0,10,458087.0,False,True
173.0,2.0,3,204328.0,True,False
155.0,3.0,33,209628.0,False,True
207.0,6.0,37,289901.0,False,True
196.0,2.0,45,213143.0,True,False
194.0,4.0,3,267693.0,True,False
169.0,1.0,37,177353.0,True,False
368.0,7.0,18,499307.0,False,True
324.0,7.0,5,478482.0,False,True
141.0,4.0,33,204111.0,False,True
107.0,2.0,17,130450.0,True,False
488.0,7.0,12,612704.0,False,True
395.0,5.0,40,466867.0,False,True
278.0,1.0,22,269745.0,True,False
166.0,3.0,18,200866.0,True,False
367.0,7.0,0,519245.0,True,False
328.0,3.0,10,368818.0,True,False
176.0,7.0,0,326116.0,False,False
442.0,3.0,8,501493.0,False,True
445.0,7.0,6,590038.0,True,False
178.0,5.0,24,266447.0,False,True
107.0,6.0,20,227431.0,False,True
171.0,1.0,14,181908.0,True,False
50.0,7.0,0,199336.0,True,False
288.0,3.0,11,326525.0,True,False
339.0,3.0,0,399093.0,False,True
145.0,3.0,14,184155.0,True,False
175.0,1.0,20,198487.0,True,False
167.0,4.0,18,238963.0,True,False
97.0,7.0,28,223936.0,True,False
138.0,2.0,24,150426.0,True,False
286.0,3.0,32,333303.0,False,True
422.0,6.0,48,525606.0,False,True
434.0,6.0,31,546651.0,False,True
321.0,3.0,48,350767.0,True,False
238.0,4.0,34,292308.0,True,False
241.0,4.0,43,304270.0,True,False
496.0,5.0,37,586072.0,False,True
118.0,6.0,25,207704.0,True,False
327.0,5.0,10,429233.0,True,False
398.0,6.0,34,502729.0,True,False
296.0,7.0,7,443631.0,False,True
125.0,7.0,45,256370.0,True,False
203.0,2.0,13,254511.0,False,True
193.0,7.0,9,347882.0,True,False
484.0,2.0,1,525107.0,False,True
135.0,7.0,2,280968.0,False,True
234.0,1.0,8,263398.0,False,True
334.0,7.0,2,464908.0,True,False
269.0,5.0,20,365423.0,True,False
118.0,3.0,25,154671.0,False,True
96.0,5.0,7,185221.0,False,True
143.0,3.0,47,176116.0,True,False
287.0,4.0,1,384958.0,True,False
495.0,5.0,5,580159.0,False,True
253.0,4.0,0,324704.0,True,False
449.0,2.0,28,487793.0,True,False
481.0,1.0,24,492852.0,True,False
390.0,7.0,11,536582.0,False,True
88.0,5.0,4,188794.0,True,False
149.0,4.0,33,205879.0,True,False
338.0,3.0,47,361506.0,False,True
303.0,4.0,36,333682.0,False,True
271.0,7.0,14,417840.0,True,False
406.0,2.0,43,436930.0,False,True
72.0,3.0,35,117591.0,True,False
299.0,7.0,14,444983.0,True,False
59.0,7.0,42,181989.0,False,True
295.0,4.0,47,341415.0,False,True
374.0,4.0,22,441990.0,False,True
149.0,5.0,5,251234.0,True,False
339.0,5.0,45,411324.0,True,False
229.0,6.0,49,340581.0,True,False
272.0,6.0,43,361533.0,True,False
443.0,1.0,42,438241.0,False,True
299.0,2.0,44,302939.0,False,True
196.0,5.0,20,301063.0,True,False
491.0,4.0,22,574464.0,False,True
145.0,3.0,42,175185.0,True,False
306.0,4.0,15,385545.0,True,False
374.0,2.0,46,390167.0,False,True
53.0,6.0,14,182412.0,False,True
65.0,4.0,24,134625.0,True,False
329.0,1.0,35,350688.0,False,True
385.0,2.0,10,427076.0,False,True
296.0,6.0,14,408029.0,True,False
307.0,3.0,3,368473.0,False,False
433.0,6.0,20,562121.0,True,False
209.0,7.0,12,354433.0,False,True
389.0,1.0,21,380432.0,True,False
201.0,2.0,18,213757.0,False,True
445.0,3.0,33,499222.0,False,True
274.5,1.0,13,131353.0,False,True
212.0,6.0,3,348905.0,True,False
429.0,1.0,47,406616.0,False,True
82.0,2.0,45,91191.0,False,True
466.0,5.0,26,533492.0,False,True
494.0,1.0,28,507882.0,False,True
228.0,7.0,46,333811.0,False,True
476.0,3.0,27,530308.0,True,False
150.0,6.0,34,257272.0,True,False
317.0,6.0,7,441899.0,True,False
372.0,3.0,15,410974.0,True,False
114.0,6.0,41,220456.0,True,False
217.0,2.0,29,250828.0,True,False
379.0,2.0,17,403367.0,False,True
92.0,5.0,1,197351.0,True,False
93.0,5.0,48,180279.0,False,True
334.0,2.0,12,378527.0,True,False
446.0,7.0,3,572366.0,True,False
61.0,5.0,25,143949.0,False,True
144.0,3.0,24,182685.0,False,True
351.0,6.0,0,474544.0,False,True
435.0,2.0,10,455451.0,False,True
302.0,5.0,6,400642.0,True,False
274.5,2.0,30,144954.0,True,False
84.0,4.0,43,161370.0,False,True
264.0,1.0,9,290530.0,False,True
139.0,2.0,12,153619.0,True,False
313.0,1.0,30,331650.0,True,False
459.0,1.0,48,438642.0,True,False
139.0,6.0,41,246501.0,True,False
467.0,2.0,1,521564.0,False,True
164.0,4.0,35,235790.0,True,False
154.0,7.0,19,278622.0,False,True
440.0,5.0,3,543320.0,False,True
245.0,3.0,0,287895.0,False,True
363.0,6.0,0,468366.0,False,True
274.5,5.0,43,167211.0,True,False
124.0,3.0,44,161596.0,False,True
462.0,1.0,41,460293.0,True,False
425.0,7.0,46,530199.0,True,False
469.0,6.0,12,573717.0,False,True
266.0,3.0,21,331691.0,True,False
326.0,2.0,20,346211.0,False,True
298.0,4.0,21,370860.0,False,True
213.0,5.0,27,301042.0,True,False
274.5,1.0,8,127312.0,True,False
406.0,5.0,25,509935.0,False,True
457.0,7.0,8,601247.0,True,False
241.0,2.0,14,276357.0,True,False
276.0,5.0,9,379191.0,True,False
226.0,1.0,23,226924.0,False,True
148.0,2.0,41,166352.0,False,True
85.0,5.0,7,184101.0,True,False
145.0,4.0,23,211520.0,True,False
201.0,6.0,15,301655.0,False,True
200.0,2.0,48,199583.0,False,False
239.0,6.0,25,342015.0,True,False
273.0,2.0,26,316777.0,False,True
86.0,4.0,36,147710.0,True,False
317.0,6.0,3,440032.0,False,True
418.0,3.0,49,452101.0,True,False
232.0,1.0,23,225467.0,False,True
62.0,3.0,18,111753.0,True,False
328.0,5.0,35,410522.0,False,True
266.0,4.0,38,296135.0,True,False
404.0,3.0,9,445222.0,False,True
410.0,2.0,24,445413.0,False,True
335.0,5.0,17,433736.0,False,True
322.0,5.0,18,408514.0,False,True
418.0,3.0,35,477712.0,False,False
111.0,3.0,9,166831.0,False,True
133.0,4.0,32,195060.0,True,False
417.0,1.0,49,393696.0,False,True
266.0,3.0,4,316297.0,True,False
391.0,7.0,46,490787.0,False,False
446.0,3.0,48,485816.0,True,False
236.0,6.0,34,338702.0,True,False
68.0,2.0,0,113242.0,True,False
226.0,7.0,33,331676.0,False,True
149.0,7.0,32,273127.0,False,True
445.0,6.0,20,562228.0,False,True
494.0,6.0,6,617208.0,True,False
282.0,5.0,21,379982.0,False,True
452.0,1.0,47,437671.0,False,True
125.0,2.0,36,162219.0,False,True
314.0,4.0,14,400396.0,False,True
333.0,3.0,34,359696.0,False,True
255.0,4.0,27,321558.0,True,False
272.0,3.0,6,329313.0,False,True
433.0,3.0,31,476649.0,True,False
101.0,4.0,10,160956.0,True,False
388.0,3.0,9,433695.0,True,False
416.0,1.0,8,429076.0,True,False
274.5,6.0,13,194605.0,True,False
422.0,3.0,12,471417.0,False,True
118.0,5.0,24,210729.0,False,True
148.0,3.0,1,217599.0,False,True
445.0,2.0,34,480598.0,True,False
74.0,4.0,6,140961.0,False,True
485.0,2.0,1,518102.0,False,True
428.0,2.0,17,448756.0,True,False
102.0,5.0,2,201584.0,True,False
200.0,1.0,41,214181.0,True,False
193.0,1.0,38,199792.0,True,False
106.0,1.0,40,107904.0,False,True
88.0,1.0,48,98540.0,True,False
158.0,1.0,10,179536.0,True,False
230.0,5.0,38,310164.0,False,True
91.0,3.0,23,132496.0,False,True
235.0,2.0,45,235371.0,True,False
472.0,1.0,5,497126.0,False,True
447.0,7.0,3,576021.0,True,False
272.0,3.0,25,300632.0,True,False
171.0,3.0,37,225967.0,False,True
182.0,2.0,41,196034.0,False,True
212.0,5.0,31,300354.0,True,False
264.0,4.0,38,344065.0,True,False
270.0,4.0,44,295812.0,True,False
284.0,3.0,45,306057.0,False,True
380.0,6.0,35,464679.0,True,False
195.0,6.0,39,284565.0,True,False
288.0,2.0,36,298275.0,True,False
125.0,4.0,32,204948.0,True,False
58.0,3.0,35,101200.0,True,False
123.0,5.0,2,241464.0,False,True
491.0,4.0,8,574794.0,True,False
450.0,3.0,7,515283.0,True,False
302.0,3.0,32,342998.0,True,False
279.0,1.0,5,290369.0,True,False
